Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua and Barbuda,ATG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,202.5,194.2857143,251.25,300,250,237.5,268.5714286,195.7142857,166.25,162.5,192.8571429,470,496.6666667,793.3333333,753.3333333,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,183.6543555,174.6994142,184.4500954,181.3334588,173.6295787,167.508061,168.0941847,151.1321303,168.0756063,176.6655903,196.6049712,195.3692732,224.1007773,225.0372175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,792.0248668,879.1671624,987.3128019,1073.651177,1155.006024,1275.711634,1361.64375,1432.286071,1510.952681,1569.861286,1630.018904,1690.510076,1833.758256,1878.560106,1919.258769,1934.210526,2012.014388,2023.270847,2087.327643,2083.984375,2080.697224,2124.169381,2265.879083,2256.470588,2251.79558,2265.879083,2265.879083,2410.452675,2408.800548,2373.646564,2352.941176,2374.651811,2415.89852,2424.455376,2517.807638,2517.730496,2506.223329,2450.14245,2394.636234,2394.767691,2410.439798,2408.866426,2412.469294,2408.671065,2401.158832,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.7785274,179.5081012,168.2524948,166.1067022,158.8469296,155.5962692,153.0695695,150.0191791,148.1814198,147.3988124,147.4500626,147.3973348,147.2211659,83.88671875,99.22337479,113.6515642,116.0735405,114.9519744,,,,,,,,,,,,
Burundi,BDI,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,0.02962963,0.028571429,0.027624309,0.02688172,0.026455026,0.026560425,0.038071066,0.0375,0.030241935,0.042553191,0.043057051,0.033482143,0.043010753,0.053763441,0.107526882,0.160427807,0.212314225,0.855614973,0.913978495,0.967741935,1.021505376,1.075268817,1.182795699,1.290322581,1.397849462,1.505376344,1.612903226,1.720430108,1.752688172,1.752688172,1.774193548,1.827956989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,485.6504469,532.938247,586.3936064,617.4348697,657.4799197,791.5895372,860.959596,899.1708797,984.2408907,1003.130699,989.1388045,996.9300912,1025.248731,1048.413021,1060.824847,1119.439348,1125.588536,1129.824923,1180.925156,1530.223097,1536.842105,1543.53562,1545.454545,1541.994751,1540.575916,1541.503268,1763.473054,1534.250326,1531.016949,1523.289817,1534.671053,1363.942308,1342.128419,1167.968085,1250.881007,1233.341067,1237.517241,1215.005727,1202.416953,1116.832947,1136.094675,1153.846154,1149.532934,1136.880952,1127.046263,,,,,,,,,,,,,,,,
Benin,BEN,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,0.695652174,0.680851064,0.666666667,0.673469388,0.66,0.67961165,0.672897196,0.672727273,0.644067797,0.65,0.64,0.640625,0.646153846,0.646616541,0.642335766,0.657142857,0.657342657,0.675862069,0.680272109,0.7,0.705882353,0.741935484,0.769230769,0.796178344,0.82278481,0.849056604,0.875,0.900621118,0.925925926,0.959752322,0.975308642,0.993865031,1,0.994117647,0.960893855,0.897435897,0.847619048,0.808888889,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,0.13653484,0.159325211,0.15858209,0.158213122,0.162112089,0.184331797,0.206422018,0.228310502,0.249772934,0.270758123,0.295454545,0.306748466,0.318742031,0.328812166,0.339185954,0.352941176,0.365384615,0.377358491,0.407407407,0.418943534,0.430107527,0.422535211,0.415944541,0.409556314,0.402684564,0.4,1.375609756,1.373783629,1.869688385,2.39657632,2.933908046,3.473227207,4.023323615,4.641475751,5.718934911,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,0.871586287,0.930557171,0.987797792,1.041666667,1.082374388,1.13662196,1.243921746,1.472420433,1.70261067,2.344687111,2.568745049,2.704478266,2.913152995,3.132187055,3.33552056,3.556576931,3.782718213,3.835616438,3.838561088,3.837298542,3.677681414,3.514938489,3.383210474,3.211758302,3.059440559,2.947276498,2.793719545,2.568942015,2.407620643,2.305414552,2.184336708,2.236032059,2.116153304,1.992150333,1.844359829,1.675242312,1.549463647,1.419446416,1.280227596,1.19760479,1.083945562,0.969344481,0.850753525,0.552621884,1.965617495,3.807106599,,,,,,,,,,,,,,,
Bulgaria,BGR,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,65.14816557,74.02262879,83.53310778,93.03110048,100.887929,108.1661066,113.1017849,122.2628792,127.4771525,129.4495413,133.7608906,140.503876,145.631068,151.2933138,163.479909,166.2766497,165.1511303,164.0779419,162.8047216,161.9231774,158.2688285,156.0607648,152.8095488,148.9361702,144.7795276,141.8695994,140.2352941,139.7890625,139.4308732,135.8272822,130.4321946,117.150976,92.12650751,94.35141215,95.79789895,92.43397573,91.67054444,113.1221719,114.3040805,98.43732275,94.03518892,95.59165425,95.11284983,93.4560821,114.251497,131.0536398,149.9481361,171.9559585,,,,,,,,,,,,,
